"","Site","Topography","Treatment","ID.CIRAD","DBH.2015","Family","Genus","Specie","DBH.03_06_2020","DBH.2020","dif","pond","nfix","year_pond"
"967","Paracou","T","N","PAR_T1-87",10.9816910733408,"Euphorbiaceae","Conceveiba","guianensis","11.05",11.05,0.0683089266592223,0.00622025571499179,0,0.00124405114299836
"968","Paracou","T","N","PAR_T1-88",14.6422547644544,"Myristicaceae","Iryanthera","hostmannii","15.05",15.05,0.407745235545629,0.0278471616636172,0,0.00556943233272343
"969","Paracou","T","N","PAR_T1-89",60.3197234318283,"Malvaceae","Sterculia",NA,"59.87",59.87,0,0,0,0
"970","Paracou","T","N","PAR_T1-90",10.8225361302489,"Arecaceae","Oenocarpus","bataua","10.93",10.93,0.107463869751117,0.00992963834518936,0,0.00198592766903787
"971","Paracou","T","N","PAR_T1-91",11.7774657888003,"Lecythidaceae","Eschweilera","sagotiana","12.49",12.49,0.712534211199745,0.0604997903604464,0,0.0120999580720893
"972","Paracou","T","N","PAR_T1-92",24.9873260654276,"Euphorbiaceae","Conceveiba","guianensis","25.55",25.55,0.56267393457243,0.0225183732384613,0,0.00450367464769226
"973","Paracou","T","N","PAR_T1-93",11.9366207318922,"Lecythidaceae","Lecythis","persistens","12.54",12.54,0.603379268107849,0.0505485833604268,0,0.0101097166720854
"974","Paracou","T","N","PAR_T1-94",35.8098621956765,"Apocynaceae","Couma","guianensis","37.450000000000003",37.45,1.64013780432355,0.0458012877950023,0,0.00916025755900047
"975","Paracou","T","N","PAR_T1-95",29.9211293012763,"Cardiopteridaceae","Dendrobangia","boliviana","30.53",30.53,0.608870698723678,0.0203491884478339,0,0.00406983768956679
"976","Paracou","T","N","PAR_T1-96",13.3690152197192,"Chrysobalanaceae","Licania","alba","13.68",13.68,0.310984780280791,0.0232616071692468,0,0.00465232143384937
"977","Paracou","T","N","PAR_T1-97",21.4859173174059,"Rubiaceae","Duroia","aquatica","21.72",21.72,0.234082682594128,0.0108947027551156,0,0.00217894055102312
"978","Paracou","T","N","PAR_T1-98",14.9605646506382,"Chrysobalanaceae","Licania","canescens","14.96",14.96,0,0,0,0
"979","Paracou","T","N","PAR_T1-99",14.8014097075463,"Chrysobalanaceae","Licania","alba","15.35",15.35,0.548590292453733,0.037063381346308,0,0.00741267626926161
"1000","Paracou","T","N","PAR_T1-120",12.4140855611678,"Annonaceae","Oxandra","asbeckii","12.77",12.77,0.355914438832164,0.0286702099061964,0,0.00573404198123928
"1001","Paracou","T","N","PAR_T1-121",15.7563393660976,"Lecythidaceae","Lecythis",NA,"15.54",15.54,0,0,0,0
