"","site","topography","plot","year","season","samplingPoint","tree","canopyPosition","treatment","number","CodiSAQ","Codesamples","tissue","height","family","genus","specie","d13C","d15N","C","N","CN","CP","NP","P","K","Na","Mg","Ca","Fe","Mn","Ni","Cu","Sr","Nfix","sp"
"378","Nouragues","Bottom","4","2019","Wet",NA,"198","Down","C",NA,NA,"704-19WNB4-198D-E","leaf",NA,"Fabaceae","Eperua","falcata",-31.435,2.117,52.005,1.644,31.63,819.136,25.898,0.063,0.73,999.523,0.127,0.477,88.479,243.104,0.569,7.908,33.347,1,"Eperua_falcata"
"379","Paracou","Slope","4","2019","Dry",NA,"243","Top","C",NA,NA,"1039-19DPS4-243T-E","leaf",NA,"Fabaceae","Eperua","falcata",-27.69,-0.392,51.428,1.61,31.945,682.981,21.38,0.075,0.445,468.769,0.241,0.438,59.409,126.588,0.388,6.493,45.131,1,"Eperua_falcata"
"380","Paracou","Slope","4","2019","Dry",NA,"243","Down","C",NA,NA,"1040-19DPS4-243D-E","leaf",NA,"Fabaceae","Eperua","falcata",-28.189,0.587,50.491,1.661,30.396,661.783,21.772,0.076,0.952,361.658,0.224,0.367,42.08,74.143,0.269,5.469,34.104,1,"Eperua_falcata"
"381","Paracou","Slope","4","2019","Wet",NA,"243","Top","C",NA,NA,"559-19WPS4-243T-E","leaf",NA,"Fabaceae","Eperua","falcata",-25.915,1.134,50.714,1.558,32.56,361.678,11.108,0.14,0.967,NA,0.166,0.218,244.104,36.508,1.333,9.69,23.894,1,"Eperua_falcata"
"382","Paracou","Slope","4","2019","Wet",NA,"243","Down","C",NA,NA,"560-19WPS4-243D-E","leaf",NA,"Fabaceae","Eperua","falcata",-26.953,0.554,51.022,1.455,35.068,400.218,11.413,0.127,0.947,NA,0.119,0.156,196.288,40.307,0.739,8.183,15.89,1,"Eperua_falcata"
"383","Nouragues","Bottom","4","2019","Dry",NA,"247","Top","C",NA,NA,"1185-19DNB4-247T-E","leaf",NA,"Burseraceae","Protium","opacum",-35.122,1.464,48.304,0.898,53.8,1050.451,19.525,0.046,1.015,NA,0.113,0.385,45.262,17.466,0.547,3.452,18.039,0,"Protium_opacum"
"384","Nouragues","Bottom","4","2019","Dry",NA,"247","Down","C",NA,NA,"1186-19DNB4-247D-E","leaf",NA,"Burseraceae","Protium","opacum",-35.486,0.934,48.229,1.318,36.586,793.567,21.691,0.061,0.515,645.995,0.137,0.832,52.303,46.584,0.339,3.43,49.301,0,"Protium_opacum"
"385","Nouragues","Bottom","4","2019","Wet",NA,"247","Top","C",NA,NA,"705-19WNB4-247T-E","leaf",NA,"Burseraceae","Protium","opacum",-33.557,3.499,48.941,1.125,43.52,909.939,20.908,0.054,0.773,598.269,0.123,0.607,68.522,26.203,0.555,3.647,37.837,0,"Protium_opacum"
"386","Nouragues","Bottom","4","2019","Wet",NA,"247","Down","C",NA,NA,"706-19WNB4-247D-E","leaf",NA,"Burseraceae","Protium","opacum",-33.75,1.297,49.55,1.19,41.64,891.68,21.414,0.056,0.729,616.511,0.122,0.624,54.428,22.713,0.453,3.521,39.749,0,"Protium_opacum"
"387","Nouragues","Top","4","2019","Dry",NA,"249","Top","C",NA,NA,"1109-19DNT4-249T-E","leaf",NA,"Chrysobalanaceae","Licania","densiflora",-34.696,3.134,46.16,1.58,29.207,1147.482,39.288,0.04,0.468,1855.366,0.216,0.708,76.975,39.121,18.699,5.462,62.842,0,"Licania_densiflora"
"388","Nouragues","Top","4","2019","Dry",NA,"249","Down","C",NA,NA,"1110-19DNT4-249D-E","leaf",NA,"Chrysobalanaceae","Licania","densiflora",-35.32,2.328,46.66,1.724,27.062,994.304,36.741,0.047,0.687,1967.765,0.264,0.797,74.837,35.13,20.33,7.777,79.354,0,"Licania_densiflora"
"389","Nouragues","Top","4","2019","Wet",NA,"249","Top","C",NA,NA,"629-19WNT4-249T-E","leaf",NA,"Chrysobalanaceae","Licania","densiflora",-35.338,2.377,47.617,1.505,31.632,1117.833,35.338,0.043,0.536,1461.423,0.234,0.825,196.442,31.614,15.022,5.27,72.831,0,"Licania_densiflora"
"390","Nouragues","Top","4","2019","Wet",NA,"249","Down","C",NA,NA,"630-19WNT4-249D-E","leaf",NA,"Chrysobalanaceae","Licania","densiflora",-35.805,2.137,45.563,1.799,25.333,1040.07,41.056,0.044,0.631,1277.835,0.229,0.752,321.428,35.209,18.484,6.704,84.884,0,"Licania_densiflora"
"391","Nouragues","Top","4","2019","Dry",NA,"250","Top","C",NA,NA,"1111-19DNT4-250T-E","leaf",NA,"Chrysobalanaceae","Licania","alba",-32.717,2.53,48.291,1.22,39.597,1134.098,28.641,0.043,0.447,2672.538,0.16,0.183,43.058,27.66,6.849,4.867,11.826,0,"Licania_alba"
"392","Nouragues","Top","4","2019","Dry",NA,"250","Down","C",NA,NA,"1112-19DNT4-250D-E","leaf",NA,"Chrysobalanaceae","Licania","alba",-32.993,2.544,47.816,1.288,37.127,1207.613,32.527,0.04,0.399,2803.675,0.187,0.26,58.576,42.583,7.273,4.372,21.52,0,"Licania_alba"
"393","Nouragues","Top","4","2019","Wet",NA,"250","Top","C",NA,NA,"631-19WNT4-250T-E","leaf",NA,"Chrysobalanaceae","Licania","alba",-33.615,3.169,47.205,1.21,39.027,1336.942,34.257,0.035,0.321,2548.602,0.109,0.202,136.341,46.338,11.227,4.456,18.211,0,"Licania_alba"
"394","Nouragues","Top","4","2019","Wet",NA,"250","Down","C",NA,NA,"632-19WNT4-250D-E","leaf",NA,"Chrysobalanaceae","Licania","alba",-34.791,2.928,47.687,1.329,35.874,1030.407,28.723,0.046,0.328,2658.709,0.224,0.313,145.586,108.001,11.334,5.071,31.659,0,"Licania_alba"
"395","Nouragues","Bottom","4","2019","Dry",NA,"253","Top","C",NA,NA,"1189-19DNB4-253T-E","leaf",NA,"Fabaceae","Paloue","guianensis",-33.662,2.828,51.203,2.611,19.61,845.039,43.093,0.061,0.736,656.554,0.163,0.201,66.17,92.45,0.601,2.516,16.034,1,"Paloue_guianensis"
"396","Nouragues","Bottom","4","2019","Dry",NA,"253","Down","C",NA,NA,"1190-19DNB4-253D-E","leaf",NA,"Fabaceae","Paloue","guianensis",-35.652,3.592,50.467,2.367,21.324,928.76,43.555,0.054,0.989,652.51,0.215,0.289,75.894,126.351,0.582,2.715,25.812,1,"Paloue_guianensis"
"397","Nouragues","Bottom","4","2019","Wet",NA,"253","Top","C",NA,NA,"709-19WNB4-253T-E","leaf",NA,"Fabaceae","Paloue","guianensis",-33.801,2.901,51.104,2.557,19.984,788.036,39.432,0.065,0.84,635.531,0.169,0.174,63.76,66.699,0.526,2.707,15.862,1,"Paloue_guianensis"
"398","Nouragues","Bottom","4","2019","Wet",NA,"253","Down","C",NA,NA,"710-19WNB4-253D-E","leaf",NA,"Fabaceae","Paloue","guianensis",NA,NA,NA,NA,NA,0,0,0.051,0.884,775.242,0.253,0.331,111.168,147.067,0.899,2.103,32.154,1,"Paloue_guianensis"
"399","Nouragues","Top","4","2019","Dry",NA,"298","Top","C",NA,NA,"1113-19DNT4-298T-E","leaf",NA,"Sapotaceae","Pouteria","eugeniifolia",-32.162,2.286,48.864,1.243,39.326,1105.773,28.118,0.044,0.256,2799.139,0.163,0.579,62.368,71.682,1.937,3.383,8.517,0,"Pouteria_eugeniifolia"
"400","Nouragues","Top","4","2019","Dry",NA,"298","Down","C",NA,NA,"1114-19DNT4_298D-E","leaf",NA,"Sapotaceae","Pouteria","eugeniifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Pouteria_eugeniifolia"
"401","Nouragues","Top","4","2019","Wet",NA,"298","Top","C",NA,NA,"633-19WNT4_298T-E","leaf",NA,"Sapotaceae","Pouteria","eugeniifolia",NA,NA,NA,NA,NA,0,0,0.043,0.301,2733.858,0.167,0.575,169.323,73.214,2.29,4.22,11.662,0,"Pouteria_eugeniifolia"
"402","Nouragues","Top","4","2019","Wet",NA,"298","Down","C",NA,NA,"634-19WNT4_298D-E","leaf",NA,"Sapotaceae","Pouteria","eugeniifolia",NA,NA,NA,NA,NA,0,0,0.043,0.297,2678.436,0.168,0.592,166.105,73.349,2.327,4.083,11.821,0,"Pouteria_eugeniifolia"
"403","Nouragues","Top","4","2019","Dry",NA,"299","Top","C",NA,NA,"1115-19DNT4-299T-E","leaf",NA,"Lauraceae","Sextonia","rubra",-32.39,0.651,50.21,1.533,32.758,783.097,23.905,0.064,0.51,1981.769,0.339,0.501,64.533,229.658,3.576,6.533,33.851,0,"Sextonia_rubra"
"404","Nouragues","Top","4","2019","Dry",NA,"299","Down","C",NA,NA,"1116-19DNT4-299D-E","leaf",NA,"Lauraceae","Sextonia","rubra",-33.021,0.917,49.653,1.453,34.174,791.394,23.158,0.063,0.415,3233.802,0.403,0.36,66.111,151.998,2.624,6.867,25.643,0,"Sextonia_rubra"
"405","Nouragues","Top","4","2019","Wet",NA,"299","Top","C",NA,NA,"635-19WNT4-299T-E","leaf",NA,"Lauraceae","Sextonia","rubra",-33.385,2.58,39.417,0.99,39.831,657.598,16.51,0.06,0.325,2669.777,0.479,0.661,109.776,341.667,3.321,6.942,41.586,0,"Sextonia_rubra"
"406","Nouragues","Top","4","2019","Wet",NA,"299","Down","C",NA,NA,"636-19WNT4-299D-E","leaf",NA,"Lauraceae","Sextonia","rubra",-33.023,0.731,48.471,1.503,32.24,649.279,20.139,0.075,0.567,3226.285,0.364,0.273,85.437,133.826,2.647,7.651,18.317,0,"Sextonia_rubra"
"407","Nouragues","Top","4","2019","Dry",NA,"300","Top","C",NA,NA,"1117-19DNT4-300T-E","leaf",NA,"Lecythidaceae","Lecythis","zabucajo",-28.283,1.591,48.264,4.668,10.34,160.128,15.486,0.301,1.559,579.536,0.21,0.42,44.178,84.091,1.897,19.914,3.351,0,"Lecythis_zabucajo"
"408","Nouragues","Top","4","2019","Dry",NA,"300","Down","C",NA,NA,"1118-19DNT4_300D-E","leaf",NA,"Lecythidaceae","Lecythis","zabucajo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Lecythis_zabucajo"
"409","Nouragues","Top","4","2019","Wet",NA,"300","Top","C",NA,NA,"637-19WNT4-300T-E","leaf",NA,"Lecythidaceae","Lecythis","zabucajo",-33.047,1.393,36.658,1.118,32.79,454.391,13.858,0.081,0.48,4386.384,0.305,1.01,145.982,191.753,3.31,18.582,11.871,0,"Lecythis_zabucajo"
"410","Nouragues","Top","4","2019","Wet",NA,"300","Down","C",NA,NA,"638-19WNT4-300D-E","leaf",NA,"Lecythidaceae","Lecythis","zabucajo",-29.781,2.556,43.23,2.477,17.452,539.571,30.918,0.08,0.646,4524.848,0.345,0.951,164.666,156.137,2.619,18.037,11.45,0,"Lecythis_zabucajo"
"411","Nouragues","Bottom","4","2019","Dry",NA,"305","Top","C",NA,NA,"1191-19DNB4-305T-E","leaf",NA,"Sapotaceae","Pradosia","ptychandra",-31.727,2.295,49.243,1.485,33.162,1077.794,32.501,0.046,0.845,1320.323,0.235,0.652,65.09,231.871,1.766,3.195,42.389,0,"Pradosia_ptychandra"
