"","site","topography","plot","year","season","samplingPoint","tree","canopyPosition","treatment","number","CodiSAQ","Codesamples","tissue","height","family","genus","specie","d13C","d15N","C","N","CN","CP","NP","P","K","Na","Mg","Ca","Fe","Mn","Ni","Cu","Sr","Nfix","sp"
"424","Paracou","Top","4","2019","Dry",NA,"807","Down","C",NA,NA,"994-19DPT4-806D-E","leaf",NA,"Malvaceae","Lueheopsis","rugosa",-33.073,2.071,37.422,1.037,36.093,1229.48,34.064,0.03,0.872,7148.23,0.782,1.049,157.386,33.419,1.72,7.504,59.857,0,"Lueheopsis_rugosa"
"425","Paracou","Top","4","2019","Dry",NA,"807","Top","C",NA,NA,"995-19DPT4-807T-E","leaf",NA,"Malvaceae","Lueheopsis","rugosa",-31.061,-0.987,52.948,1.366,38.753,1055.803,27.244,0.05,0.321,3764.453,0.236,0.478,150.623,130.105,1.817,7.097,68.412,0,"Lueheopsis_rugosa"
"426","Paracou","Top","4","2019","Dry",NA,"807","Down","C",NA,NA,"996-19DPT4-807D-E","leaf",NA,"Malvaceae","Lueheopsis","rugosa",-31.714,-0.686,47.868,1.237,38.705,949.141,24.523,0.05,0.357,4324.369,0.305,0.515,219.049,180.912,1.749,7.645,65.432,0,"Lueheopsis_rugosa"
"427","Paracou","Top","4","2019","Wet",NA,"808","Top","C",NA,NA,"517-19WPT4-808T-E","leaf",NA,"Euphorbiaceae","Chaetocarpus","schomburgkianus",-31.423,-0.331,50.212,0.877,57.243,1446.029,25.261,0.035,0.482,3374.17,0.195,0.099,137.863,28.81,3.338,2.322,11.864,0,"Chaetocarpus_schomburgkianus"
"428","Paracou","Top","4","2019","Wet",NA,"808","Down","C",NA,NA,"518-19WPT4-808D-E","leaf",NA,"Euphorbiaceae","Chaetocarpus","schomburgkianus",-32.729,-1.391,50.554,0.948,53.31,1708.541,32.049,0.03,0.194,2795.427,0.277,0.257,120.928,40.295,9.712,1.713,40.353,0,"Chaetocarpus_schomburgkianus"
"429","Paracou","Top","4","2019","Dry",NA,"808","Top","C",NA,NA,"997-19DPT4-808T-E","leaf",NA,"Euphorbiaceae","Chaetocarpus","schomburgkianus",-31.118,-1.166,47.686,0.762,62.616,1528.981,24.418,0.031,0.305,3487.521,0.169,0.174,68.921,58.918,4.825,2.146,23.518,0,"Chaetocarpus_schomburgkianus"
"430","Paracou","Top","4","2019","Dry",NA,"808","Down","C",NA,NA,"998-19DPT4-808D-E","leaf",NA,"Euphorbiaceae","Chaetocarpus","schomburgkianus",-31.848,-0.895,45.854,0.869,52.753,1224.224,23.207,0.037,0.403,3544.023,0.246,0.233,75.856,81.41,5.791,3.955,33.784,0,"Chaetocarpus_schomburgkianus"
"431","Paracou","Bottom","4","2019","Dry",NA,"937","Top","C",NA,NA,"1069-19DPB4-937T-E","leaf",NA,"Fabaceae","Eperua","falcata",-28.975,0.753,51.745,1.557,33.231,781.413,23.515,0.066,0.946,NA,0.153,0.616,32.176,110.406,0.304,8.041,67.065,1,"Eperua_falcata"
"432","Paracou","Bottom","4","2019","Dry",NA,"937","Down","C",NA,NA,"1070-19DPB4-937D-E","leaf",NA,"Fabaceae","Eperua","falcata",-29.736,0.593,51.435,1.734,29.656,780.252,26.31,0.066,0.905,948.019,0.172,0.67,71.855,160.236,0.348,11.039,70.077,1,"Eperua_falcata"
"433","Paracou","Bottom","4","2019","Wet",NA,"937","Top","C",NA,NA,"589-19WPB4-937T-E","leaf",NA,"Fabaceae","Eperua","falcata",-29.542,0.433,49.687,1.912,25.985,775.014,29.825,0.064,0.392,686.904,0.128,1.039,136.652,336.55,0.689,13.882,108.004,1,"Eperua_falcata"
"434","Paracou","Bottom","4","2019","Wet",NA,"937","Down","C",NA,NA,"590-19WPB4_937D-E","leaf",NA,"Fabaceae","Eperua","falcata",NA,NA,NA,NA,NA,0,0,0.043,0.72,3354.406,0.297,1.063,125.208,52.572,0.514,4.737,71.139,1,"Eperua_falcata"
"435","Paracou","Bottom","4","2019","Dry",NA,"938","Top","C",NA,NA,"1071-19DPB4-938T-E","leaf",NA,"Clusiaceae","Symphonia","globulifera",-30.695,0.824,47.548,1.259,37.766,1150.707,30.469,0.041,0.633,2319.366,0.243,0.941,81.403,46.173,NA,3.616,62.374,0,"Symphonia_globulifera"
"436","Paracou","Bottom","4","2019","Dry",NA,"938","Down","C",NA,NA,"1072-19DPB4-938D-E","leaf",NA,"Clusiaceae","Symphonia","globulifera",-32.005,0.907,47.19,1.398,33.755,1034.616,30.651,0.046,0.743,2656.832,0.295,0.947,82.154,44.897,NA,4.741,64.061,0,"Symphonia_globulifera"
"437","Paracou","Bottom","4","2019","Wet",NA,"938","Top","C",NA,NA,"591-19WPB4_938T-E","leaf",NA,"Clusiaceae","Symphonia","globulifera",NA,NA,NA,NA,NA,0,0,0.042,0.642,2683.293,0.23,0.989,212.444,40.481,0.622,4.063,66.817,0,"Symphonia_globulifera"
"438","Paracou","Bottom","4","2019","Wet",NA,"938","Down","C",NA,NA,"592-19WPB4_938D-E","leaf",NA,"Clusiaceae","Symphonia","globulifera",NA,NA,NA,NA,NA,0,0,0.055,0.392,790.343,0.17,0.887,223.025,279.338,0.957,15.201,93.886,0,"Symphonia_globulifera"
"439","Paracou","Top","4","2019","Dry",NA,"949","Down","C",NA,NA,"1000-19DPT4-949D-E","leaf",NA,"Sapotaceae","Pouteria","eugeniifolia",-33.418,-1.285,50.042,1.126,44.426,1340.856,30.182,0.037,0.299,2849.667,0.161,0.38,153.235,33.365,2.525,4.851,23.158,0,"Pouteria_eugeniifolia"
"440","Paracou","Top","4","2019","Wet",NA,"949","Top","C",NA,NA,"519-19WPT4-949T-E","leaf",NA,"Sapotaceae","Pouteria","eugeniifolia",-31.828,-0.782,47.538,1.114,42.657,1349.381,31.633,0.035,0.239,3792.487,0.141,0.363,234.551,25.298,3.142,5.245,17.374,0,"Pouteria_eugeniifolia"
"441","Paracou","Top","4","2019","Wet",NA,"949","Down","C",NA,NA,"520-19WPT4-949D-E","leaf",NA,"Sapotaceae","Pouteria","eugeniifolia",-32.602,-1.147,47.982,1.168,41.075,1289.465,31.393,0.037,0.254,2607.318,0.161,0.546,334.885,47.438,4.005,5.811,13.22,0,"Pouteria_eugeniifolia"
"442","Paracou","Top","4","2019","Dry",NA,"949","Top","C",NA,NA,"999-19DPT4-949T-E","leaf",NA,"Sapotaceae","Pouteria","eugeniifolia",-32.778,-1.457,49.011,1.239,39.56,955.203,24.146,0.051,0.619,2834.211,0.126,0.242,51.008,24.91,1.102,7.45,11.396,0,"Pouteria_eugeniifolia"
"443","Paracou","Bottom","4","2019","Dry",NA,"1110","Top","C",NA,NA,"1073-19DPB4-1110T-E","leaf",NA,"Fabaceae","Eperua","falcata",-28.171,0.175,51.245,1.74,29.449,571.531,19.408,0.09,1.232,NA,0.171,0.571,44.332,161.521,0.351,7.344,55.613,1,"Eperua_falcata"
"444","Paracou","Bottom","4","2019","Dry",NA,"1110","Down","C",NA,NA,"1074-19DPB4-1110D-E","leaf",NA,"Fabaceae","Eperua","falcata",-29.311,-0.116,52.142,1.541,33.828,903.694,26.714,0.058,0.511,652.232,0.224,0.806,87.563,162.151,0.483,5.119,98.338,1,"Eperua_falcata"
"445","Paracou","Bottom","4","2019","Wet",NA,"1110","Top","C",NA,NA,"593-19WPB4_1110T-E","leaf",NA,"Fabaceae","Eperua","falcata",NA,NA,NA,NA,NA,0,0,0.053,0.613,585.173,0.095,0.525,247.368,279.022,0.815,7.253,52.241,1,"Eperua_falcata"
"446","Paracou","Bottom","4","2019","Wet",NA,"1110","Down","C",NA,NA,"594-19WPB4_1110D-E","leaf",NA,"Fabaceae","Eperua","falcata",NA,NA,NA,NA,NA,0,0,0.06,0.514,570.348,0.163,0.664,126.156,94.813,1.227,8.375,84.378,1,"Eperua_falcata"
"447","Paracou","Bottom","4","2019","Dry",NA,"1125","Top","C",NA,NA,"1075-19DPB4-1125T-E","leaf",NA,"Chrysobalanaceae","Licania","alba",-34.255,1.062,49.742,0.923,53.914,1808.589,33.546,0.028,0.462,2825.437,0.15,0.341,245.345,37.94,1.589,3.127,36.564,0,"Licania_alba"
"448","Paracou","Bottom","4","2019","Dry",NA,"1125","Down","C",NA,NA,"1076-19DPB4-1125D-E","leaf",NA,"Chrysobalanaceae","Licania","alba",-34.225,0.802,49.134,1.109,44.288,1650.748,37.273,0.03,0.426,2193.002,0.209,0.347,109.916,43.43,1.182,4.161,33.44,0,"Licania_alba"
"449","Paracou","Bottom","4","2019","Wet",NA,"1125","Top","C",NA,NA,"595-19WPB4-1125T-E","leaf",NA,"Chrysobalanaceae","Licania","alba",-33.651,1.333,47.489,1.224,38.802,1391.746,35.868,0.034,0.522,3372.21,0.196,0.257,213.627,32.887,1.814,5.126,23.625,0,"Licania_alba"
"450","Paracou","Bottom","4","2019","Wet",NA,"1125","Down","C",NA,NA,"596-19WPB4-1125D-E","leaf",NA,"Chrysobalanaceae","Licania","alba",-33.911,NA,47.425,1.174,40.401,1449.984,35.89,0.033,0.368,2077.249,0.259,0.302,207.617,38.198,1.207,5.001,30.76,0,"Licania_alba"
"451","Nouragues","Bottom","4","2019","Dry",NA,"2473","Top","C",NA,NA,"1187-19DNB4_247,3T-E","leaf",NA,"Moraceae","Helicostylis","pedunculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Helicostylis_pedunculata"
"452","Nouragues","Bottom","4","2019","Dry",NA,"2473","Down","C",NA,NA,"1188-19DNB4-247-3D-E","leaf",NA,"Moraceae","Helicostylis","pedunculata",-35.162,3.411,41.162,2.022,20.362,644.636,31.659,0.064,1.045,1399.313,0.198,1.837,145.999,538.998,0.707,3.541,97.61,0,"Helicostylis_pedunculata"
"453","Nouragues","Bottom","4","2019","Wet",NA,"2473","Top","C",NA,NA,"707-19WNB4-247-3T-E","leaf",NA,"Moraceae","Helicostylis","pedunculata",-35.023,3.233,44.124,2.005,22.005,673.661,30.614,0.065,1.273,1069.399,0.181,1.598,193.478,445.004,0.601,3.883,82.846,0,"Helicostylis_pedunculata"
"454","Nouragues","Bottom","4","2019","Wet",NA,"2473","Down","C",NA,NA,"708-19WNB4-247-3D-E","leaf",NA,"Moraceae","Helicostylis","pedunculata",-35.133,4.257,42.805,1.996,21.441,555.861,25.925,0.077,1.593,917.273,0.172,1.491,146.323,389.235,0.782,4.795,74.051,0,"Helicostylis_pedunculata"
"455","Paracou","Bottom","4","2019","Dry",NA,"2741","Top","C",NA,NA,"1077-19DPB4-2741T-E","leaf",NA,"Moraceae","Brosimum","rubescens",-32.031,1.504,49.206,1.593,30.879,797.652,25.831,0.062,0.351,3246.537,0.386,1.087,168.479,43.512,1.821,5.993,88.482,0,"Brosimum_rubescens"
"456","Paracou","Bottom","4","2019","Dry",NA,"2741","Down","C",NA,NA,"1078-19DPB4-2741D-E","leaf",NA,"Moraceae","Brosimum","rubescens",-32.243,1.439,49.266,1.475,33.411,858.857,25.706,0.057,0.351,3420.029,0.375,0.955,179.75,41.525,0.84,6.991,77.153,0,"Brosimum_rubescens"
"457","Paracou","Bottom","4","2019","Wet",NA,"2741","Top","C",NA,NA,"597-19WPB4-2741T-E","leaf",NA,"Moraceae","Brosimum","rubescens",-32.211,1.139,48.553,1.602,30.302,824.748,27.218,0.059,0.484,3195.266,0.4,0.916,159.097,61.856,1.016,7.095,79.127,0,"Brosimum_rubescens"
"458","Paracou","Bottom","4","2019","Wet",NA,"2741","Down","C",NA,NA,"598-19WPB4-2741D-E","leaf",NA,"Moraceae","Brosimum","rubescens",-31.465,1.766,48.967,1.516,32.309,826.483,25.581,0.059,0.431,2970.794,0.276,0.592,257.476,30.152,1.336,6.634,50.513,0,"Brosimum_rubescens"
